Risk category,Description of risk,Cause of risk,Supply chain entities related to risk,Geographical locations of risk,Business sectors related to risk,News article url
Supply Risk,Lumber prices skyrocketed,COVID-19 pandemic affecting supply/availability,Suppliers; RWB Construction Management,No information,construction industry,https://finance.yahoo.com/news/luxury-homebuilder-says-trump-tariffs-120652387.html
Financial Risk,Prices still elevated,Inflation,RWB Construction Management; suppliers; subcontractors,No information,construction industry,https://finance.yahoo.com/news/luxury-homebuilder-says-trump-tariffs-120652387.html
Political Risk,Prices still elevated,Tariffs imposed by Trump during his first term,RWB Construction Management; suppliers; subcontractors,No information,construction industry,https://finance.yahoo.com/news/luxury-homebuilder-says-trump-tariffs-120652387.html
Behavioral Risk,Potential for subcontractors and suppliers to pad margins using tariffs as an excuse,Opportunistic behavior by suppliers/subcontractors; hidden agendas,Subcontractors; suppliers; Robert W. Burrage; RWB Construction Management,No information,construction industry,https://finance.yahoo.com/news/luxury-homebuilder-says-trump-tariffs-120652387.html
Cybersecurity Risk,Ransomware actors using valid accounts and exploiting vulnerabilities,Ransomware actors;valid accounts;public-facing application exploits,LockBit;Cisco Talos,No information,Cybersecurity;IT;Technology,https://blog.talosintelligence.com/care-what-you-share/
Cybersecurity Risk,Threat actors uploading malicious packages to repositories based on AI-hallucinated dependencies,AI hallucinating dependencies;threat actors uploading malicious packages,PyPI;npm,No information,Cybersecurity;Software Development;IT,https://blog.talosintelligence.com/care-what-you-share/
Cybersecurity Risk,Global spread of XorDDoS malware targeting systems,XorDDoS malware;Chinese-speaking operators,Cisco Talos,United States,Cybersecurity;IT;Technology,https://blog.talosintelligence.com/care-what-you-share/
Cybersecurity Risk,Security vulnerabilities identified in Oracle Database products requiring patches,Security vulnerabilities in Oracle code and third party components,Oracle;Oracle Database,No information,Database,https://www.oracle.com/security-alerts/cpuapr2025.html
Cybersecurity Risk,Security vulnerabilities identified in Oracle Commerce products requiring patches,Security vulnerabilities in Oracle code and third party components,Oracle;Oracle Commerce,No information,Commerce,https://www.oracle.com/security-alerts/cpuapr2025.html
Cybersecurity Risk,Security vulnerabilities identified in Oracle Communications Applications products requiring patches,Security vulnerabilities in Oracle code and third party components,Oracle;Oracle Communications Applications,No information,Communications Applications,https://www.oracle.com/security-alerts/cpuapr2025.html
Cybersecurity Risk,Security vulnerabilities identified in Oracle Communications products requiring patches,Security vulnerabilities in Oracle code and third party components,Oracle;Oracle Communications,No information,Communications,https://www.oracle.com/security-alerts/cpuapr2025.html
Cybersecurity Risk,Security vulnerabilities identified in Oracle Construction and Engineering products requiring patches,Security vulnerabilities in Oracle code and third party components,Oracle;Oracle Construction and Engineering,No information,Construction and Engineering,https://www.oracle.com/security-alerts/cpuapr2025.html
Cybersecurity Risk,Security vulnerabilities identified in Oracle E-Business Suite products requiring patches,Security vulnerabilities in Oracle code and third party components,Oracle;Oracle E-Business Suite,No information,E-Business Suite,https://www.oracle.com/security-alerts/cpuapr2025.html
Cybersecurity Risk,Security vulnerabilities identified in Oracle Enterprise Manager products requiring patches,Security vulnerabilities in Oracle code and third party components,Oracle;Oracle Enterprise Manager,No information,Enterprise Manager,https://www.oracle.com/security-alerts/cpuapr2025.html
Cybersecurity Risk,Security vulnerabilities identified in Oracle Financial Services Applications products requiring patches,Security vulnerabilities in Oracle code and third party components,Oracle;Oracle Financial Services Applications,No information,Financial Services Applications,https://www.oracle.com/security-alerts/cpuapr2025.html
Cybersecurity Risk,Security vulnerabilities identified in Oracle Food and Beverage Applications products requiring patches,Security vulnerabilities in Oracle code and third party components,Oracle;Oracle Food and Beverage Applications,No information,Food and Beverage Applications,https://www.oracle.com/security-alerts/cpuapr2025.html
Cybersecurity Risk,Security vulnerabilities identified in Oracle Fusion Middleware products requiring patches,Security vulnerabilities in Oracle code and third party components,Oracle;Oracle Fusion Middleware,No information,Fusion Middleware,https://www.oracle.com/security-alerts/cpuapr2025.html
Cybersecurity Risk,Security vulnerabilities identified in Oracle Analytics products requiring patches,Security vulnerabilities in Oracle code and third party components,Oracle;Oracle Analytics,No information,Analytics,https://www.oracle.com/security-alerts/cpuapr2025.html
Cybersecurity Risk,Security vulnerabilities identified in Oracle Hospitality Applications products requiring patches,Security vulnerabilities in Oracle code and third party components,Oracle;Oracle Hospitality Applications,No information,Hospitality Applications,https://www.oracle.com/security-alerts/cpuapr2025.html
Cybersecurity Risk,Security vulnerabilities identified in Oracle Hyperion products requiring patches,Security vulnerabilities in Oracle code and third party components,Oracle;Oracle Hyperion,No information,Hyperion,https://www.oracle.com/security-alerts/cpuapr2025.html
Cybersecurity Risk,Security vulnerabilities identified in Oracle Insurance Applications products requiring patches,Security vulnerabilities in Oracle code and third party components,Oracle;Oracle Insurance Applications,No information,Insurance Applications,https://www.oracle.com/security-alerts/cpuapr2025.html
Cybersecurity Risk,Security vulnerabilities identified in Oracle Java SE products requiring patches,Security vulnerabilities in Oracle code and third party components,Oracle;Oracle Java SE,No information,Java SE,https://www.oracle.com/security-alerts/cpuapr2025.html
Cybersecurity Risk,Security vulnerabilities identified in Oracle JD Edwards products requiring patches,Security vulnerabilities in Oracle code and third party components,Oracle;Oracle JD Edwards,No information,JD Edwards,https://www.oracle.com/security-alerts/cpuapr2025.html
Cybersecurity Risk,Security vulnerabilities identified in Oracle MySQL products requiring patches,Security vulnerabilities in Oracle code and third party components,Oracle;Oracle MySQL,No information,MySQL,https://www.oracle.com/security-alerts/cpuapr2025.html
Cybersecurity Risk,Security vulnerabilities identified in Oracle PeopleSoft products requiring patches,Security vulnerabilities in Oracle code and third party components,Oracle;Oracle PeopleSoft,No information,PeopleSoft,https://www.oracle.com/security-alerts/cpuapr2025.html
Behavioral Risk,Risk created by the buyer due to poor communication with suppliers,poor communication with suppliers,buyer;suppliers,No information,No information,https://www.globenewswire.com/news-release/2025/04/18/3064084/28124/en/Effective-Management-of-Supply-Chain-Risk-Training-Course-ONLINE-EVENT-June-9-10-2025.html
Political Risk,Trade disruption leading to suspension of component shipments,Trade disruption;Suspension of shipments,Tesla;Tesla Cybercab parts;Tesla Semi-Truck parts;China,China;No information,Automotive;Manufacturing;Logistics/Shipping,https://biztoc.com/x/5621485a736b0397
Political Risk,Risk of ZenaTech's ZenaDrone subsidiary failing to meet National Defense Authorization Act (NDAA) supply chain compliance requirements,US government regulation (National Defense Authorization Act - NDAA) requiring specific sourcing and manufacturing locations for defense sales,ZenaTech Inc.;ZenaDrone;Spider Vision Sensors;US Department of Defense (DoD),Taiwan;Arizona US,Technology;Defense,https://www.globenewswire.com/news-release/2025/04/15/3061749/0/en/ZenaTech-s-ZenaDrone-Subsidiary-Provides-Update-on-Green-UAS-Certification-for-IQ-Square-Drone-for-Land-Survey-Bridge-Inspections-and-Other-US-Defense-Applications.html
Cybersecurity Risk,Risk of ZenaTech's ZenaDrone subsidiary failing to meet cybersecurity standards required for Green UAS and Blue UAS certifications,Certification requirements necessitate meeting specific security and cybersecurity standards,ZenaTech Inc.;ZenaDrone,No information,Technology;Defense;Government,https://www.globenewswire.com/news-release/2025/04/15/3061749/0/en/ZenaTech-s-ZenaDrone-Subsidiary-Provides-Update-on-Green-UAS-Certification-for-IQ-Square-Drone-for-Land-Survey-Bridge-Inspections-and-Other-US-Defense-Applications.html
Supply Risk,Risk of ZenaTech's ZenaDrone subsidiary failing to meet supply chain security standards required for Green UAS and Blue UAS certifications,Certification requirements necessitate meeting specific supply chain security standards,ZenaTech Inc.;ZenaDrone,No information,Technology;Defense;Government,https://www.globenewswire.com/news-release/2025/04/15/3061749/0/en/ZenaTech-s-ZenaDrone-Subsidiary-Provides-Update-on-Green-UAS-Certification-for-IQ-Square-Drone-for-Land-Survey-Bridge-Inspections-and-Other-US-Defense-Applications.html
Financial Risk,Increased production costs for flow wrap packaging,Rising inflation rate leading to higher polyethylene and polypropylene prices,Manufacturers;Suppliers (polyethylene);Suppliers (polypropylene),global,Flow wrap packaging market;Manufacturing,https://www.globenewswire.com/news-release/2025/04/15/3062059/0/en/Flow-Wrap-Packaging-Market-Size-Worth-44-7-Billion-by-2033-CAGR-5-3-AMR.html
Political Risk,Volatility in energy prices impacting manufacturing and logistics costs,Russia-Ukraine conflict,Manufacturers;Logistics providers,Russia;Ukraine;global,Manufacturing;Logistics;Flow wrap packaging market,https://www.globenewswire.com/news-release/2025/04/15/3062059/0/en/Flow-Wrap-Packaging-Market-Size-Worth-44-7-Billion-by-2033-CAGR-5-3-AMR.html
Political Risk,Reduced availability of raw materials and supply chain delays,Geopolitical tensions and trade restrictions (e.g. U.S.-China trade war),Suppliers (raw materials);Manufacturers,U.S.;China;global,Flow wrap packaging market;Manufacturing,https://www.globenewswire.com/news-release/2025/04/15/3062059/0/en/Flow-Wrap-Packaging-Market-Size-Worth-44-7-Billion-by-2033-CAGR-5-3-AMR.html
Political Risk,Significant increase in global shipping costs by over 50% in some regions,Geopolitical tensions and trade restrictions,Logistics providers,global;some regions,Logistics;Flow wrap packaging market,https://www.globenewswire.com/news-release/2025/04/15/3062059/0/en/Flow-Wrap-Packaging-Market-Size-Worth-44-7-Billion-by-2033-CAGR-5-3-AMR.html
Operational Risk,Increased operational costs due to wage inflation,Wage inflation,Ollie Quinn Limited,UK,Retail,https://www.globenewswire.com/news-release/2025/04/16/3062396/0/en/Final-Results.html
Financial Risk,Increased supply chain costs due to supply chain inflation,Supply chain inflation,Ollie Quinn Limited,UK,Retail,https://www.globenewswire.com/news-release/2025/04/16/3062396/0/en/Final-Results.html
Operational Risk,Business impacted by wage inflation,Wage inflation,Crosstown Dough Ltd,UK;Battersea,Food/Retail,https://www.globenewswire.com/news-release/2025/04/16/3062396/0/en/Final-Results.html
Financial Risk,Business impacted by supply chain inflation,Supply chain inflation,Crosstown Dough Ltd,UK;Battersea,Food/Retail,https://www.globenewswire.com/news-release/2025/04/16/3062396/0/en/Final-Results.html
Financial Risk,Significant increase in direct overheads and utilities costs,Increased direct overheads and utilities costs,Aerospace Tooling Corporation Limited,No information,Aerospace,https://www.globenewswire.com/news-release/2025/04/16/3062396/0/en/Final-Results.html
Financial Risk,Funding round failed leaving company in challenging financial situation,Failed funding round,Rovco Limited,No information,No information,https://www.globenewswire.com/news-release/2025/04/16/3062396/0/en/Final-Results.html
Political Risk,Uncertainty and potential impact from U.S. tariffs on semiconductors,Threats from U.S. President Donald Trump to put tariffs on semiconductors;U.S. export controls on chips for China,TSMC;Nvidia;ASML,United States;China;Taiwan,Chip industry;AI applications,https://www.livemint.com/companies/company-results/tsmc-upbeat-on-outlook-as-robust-ai-demand-offsets-tariff-uncertainty-11744879890512.html
Demand Risk,Competition from cheaper AI models impacting demand,Chinese startup DeepSeek's launch of cheaper AI models,TSMC;DeepSeek,China,AI models;AI applications;Chip industry,https://www.livemint.com/companies/company-results/tsmc-upbeat-on-outlook-as-robust-ai-demand-offsets-tariff-uncertainty-11744879890512.html
Demand Risk,Reduced market demand due to investor uncertainty in AI infrastructure spending,Investor jitters about spending on AI infrastructure,TSMC,No information,AI infrastructure;Chip industry,https://www.livemint.com/companies/company-results/tsmc-upbeat-on-outlook-as-robust-ai-demand-offsets-tariff-uncertainty-11744879890512.html
Cybersecurity Risk,Low coverage of Supply Chain Risk Management practices in healthcare leads to increased third-party breaches,Third-party breaches originating from weak cybersecurity practices,healthcare organizations;third-party vendors,No information,healthcare;payer,https://www.techtarget.com/healthtechsecurity/news/366622772/Benchmarking-data-shows-healthcare-cybersecurity-pain-points
Environmental Risk,Disruptions to the freight system caused by natural hazards resulting in delays and shortages,Cyclone Gabrielle;Floods;Severe weather events;Natural hazards;Earthquakes;Hurricanes;Extreme weather,Trucking companies;Drivers;Shoppers;Freight system,Napier;Wairoa;Aotearoa New Zealand;Canterbury;Christchurch;Timaru;North Island;South Island,Freight system;retail,https://theconversation.com/nzs-over-reliance-on-roads-for-freight-means-natural-disasters-hit-even-harder-but-there-is-a-fix-253008
Logistics Risk,Delays in freight movement due to damaged road infrastructure and limited alternative transport options,Road damage;Infrastructure failures;Over-reliance on roads;limited alternatives,Trucking companies;Drivers;Shoppers;Freight system,Napier;Wairoa;Aotearoa New Zealand;Canterbury;Christchurch;Timaru;North Island;South Island,Freight system;retail,https://theconversation.com/nzs-over-reliance-on-roads-for-freight-means-natural-disasters-hit-even-harder-but-there-is-a-fix-253008
Operational Risk,Disruptions in transport services due to labor shortages and potential disputes related to ferries,Labor shortage (drivers);Dispute (Cook Strait ferries),Drivers;Transport industry;Cook Strait ferries,Aotearoa New Zealand;Cook Strait;North Island;South Island,Transport industry;freight system,https://theconversation.com/nzs-over-reliance-on-roads-for-freight-means-natural-disasters-hit-even-harder-but-there-is-a-fix-253008
Supply Risk,Fragility of the freight system due to heavy dependency on a single transport mode (roads),Over-reliance on roads (single-source dependency);Limited alternatives,New Zealand's freight system;transport industry,Aotearoa New Zealand,Freight system;transport industry,https://theconversation.com/nzs-over-reliance-on-roads-for-freight-means-natural-disasters-hit-even-harder-but-there-is-a-fix-253008
Political Risk,Threat of tariff-induced supply chain shocks,Tariffs,No information,No information,No information,https://www.smh.com.au/business/markets/why-typhoid-trump-and-covid-are-so-similar-20250416-p5ls6h.html
Political Risk,Paralysis of large businesses preventing investment decisions,Unstable government policies (Trump’s zigzags and somersaults on tariffs policy),No information,No information,No information,https://www.smh.com.au/business/markets/why-typhoid-trump-and-covid-are-so-similar-20250416-p5ls6h.html
